index	applicable	baseline_decision	refined_decision	first_baseline_failing_seed	first_refined_failing_seed	seeds	covers	baseline_passing_covers	refined_passing_covers	newly_failed_covers	support_families_checked	propagated_coordinate_deletions	refinement_cache_hits	assignment_fail_empty_propagated_mask	assignment_fail_disjoint_required_edge	assignment_fail_clique	assignment_fail_degree	assignment_fail_basis	assignment_fail_mask	assignment_fail_subspace_K	assignment_fail_component_B
3452869	1	REJECTED	REJECTED	42023	42023	2	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3099561	1	REJECTED	REJECTED	345113	345113	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388922	1	SURVIVOR	SURVIVOR	0	0	1	93	4	4	0	5292	52096	0	4400	888	0	0	0	0	0	0
1869044	1	REJECTED	REJECTED	345113	345113	2	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3452028	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	17	70	0	0	15	0	0	0	0	0	0
782963	1	REJECTED	REJECTED	37669	37669	2	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188803	1	REJECTED	REJECTED	83019	83019	3	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
349003	1	REJECTED	REJECTED	271141	271141	2	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3763801	1	REJECTED	REJECTED	198868	198868	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3101097	1	REJECTED	REJECTED	410913	410913	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3649646	1	SURVIVOR	SURVIVOR	0	0	2	269	8	4	4	432	3352	0	254	174	0	0	0	0	0	0
2193803	1	SURVIVOR	SURVIVOR	0	0	1	130	2	2	0	54	215	0	0	52	0	0	0	0	0	0
2519040	1	REJECTED	REJECTED	272714	272714	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3582223	1	REJECTED	REJECTED	280906	280906	2	194	1	1	0	1	0	0	0	0	0	0	0	0	0	0
2432078	1	REJECTED	REJECTED	297794	297794	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
819279	1	REJECTED	REJECTED	172107	172107	2	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3627650	1	REJECTED	REJECTED	51530	51530	3	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348117	1	REJECTED	REJECTED	271141	271141	3	348	3	3	0	199	820	0	0	196	0	0	0	0	0	0
3377611	1	REJECTED	REJECTED	201034	201034	5	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1757396	1	REJECTED	REJECTED	157844	157844	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401085	1	REJECTED	REJECTED	295717	295717	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2871360	1	REJECTED	REJECTED	180515	180515	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
820547	1	REJECTED	REJECTED	267045	267045	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3024363	1	REJECTED	REJECTED	362507	362507	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2224134	1	REJECTED	REJECTED	272714	272714	2	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3704531	1	REJECTED	REJECTED	268618	268618	2	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3945411	1	REJECTED	REJECTED	140825	331815	6	232	7	2	5	67	298	0	0	65	0	0	0	0	0	0
1931582	1	REJECTED	REJECTED	145496	145496	1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2688991	1	REJECTED	REJECTED	152724	152724	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2255364	1	REJECTED	REJECTED	201506	201506	3	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3860293	1	REJECTED	REJECTED	149543	149543	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3455779	1	REJECTED	REJECTED	271399	271399	2	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2714355	1	SURVIVOR	SURVIVOR	0	0	1	93	7	2	5	139	999	0	62	75	0	0	0	0	0	0
