ordinal	index	population	status	winning_order	winning_circles	orders_available	orders_tried	kernel_calls	kernel_killed	kernel_survivors	kernel_aborts	total_nodes	unresolved_cells	elapsed_seconds	error_type	error_message
71	424237	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	14.488531000		
72	424303	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	11.179161458		
73	428414	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.129935459		
74	430135	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.078216000		
75	448741	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	10.657714791		
76	477118	K7	ABORT	-1	-1	3	2	2	0	0	2	40002	0	32.794234917		
77	490738	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.736087208		
78	498399	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	7.124941250		
79	518378	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.205855333		
80	537634	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.531807542		
81	537935	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.153723250		
82	537954	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.796075000		
83	545400	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.877484792		
84	549589	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.167984834		
85	551604	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	8.301273958		
86	552831	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.357862375		
87	552849	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.818953750		
88	552851	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.490643000		
89	552855	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.465009625		
90	556416	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	3.122127333		
91	560136	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	9.545036125		
92	560335	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	16.068837208		
93	560643	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.871686583		
94	560676	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.893907625		
95	560702	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.900977334		
96	560830	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	1.163121667		
97	560836	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	0.870276208		
98	568992	K6	ABORT	-1	-1	2	1	1	0	0	1	20001	0	2.261623792		
